Weight Lifted (Kg),Lean Mass,Body Surface Area,Body Volume,Torso Volume,Vol_Arm,IMTP_Force at 150ms [N] ,IMTP_Force at 200ms [N] ,HABD_Plus_HADD,Grip_Strength_Kg,SJ_Concentric Impulse [N s],SJ_Concentric Mean Force [N],SJ_Concentric Mean Power [W],LSJ_Concentric Impulse [N s],LSJ_Concentric Mean Force [N],LSJ_Concentric Mean Power [W],LSJ_Concentric Mean Velocity [m/s],LSJ_Concentric Peak Velocity [m/s],LSJ_Flight Time [ms],LSJ_P1 Concentric Impulse [N s],LSJ_Peak Power [W],LSJ_Velocity at Peak Power [m/s],LSJ_Vertical Velocity at Takeoff [m/s],CMJ_Concentric Impulse [N s],CMJ_Concentric Mean Force [N],CMJ_Concentric Mean Power [W],CMJ_Concentric Peak Force [N],CMJ_Eccentric Mean Force [N],CMJ_Eccentric Mean Power [W],CMJ_P1 Concentric Impulse [N s],CMJ_Takeoff Peak Force [N],LCMJ_Concentric Impulse [N s],LCMJ_Concentric Mean Power [W],LCMJ_Eccentric Mean Force [N],LCMJ_Eccentric Mean Power [W],LCMJ_P1 Concentric Impulse [N s],Sex,Height (m),Weight (kg),BMI,Avg_Bicep,Avg_Calf,Avg_Mid_Thigh,Avg_Forearm,Chest,Hip,Neck,Waist (Abdominal),Waist (Narrowest),IMTP_Peak Vertical Force [N] ,IMTP_Peak Vertical Force / BM [N/kg] ,PU_Peak Vertical Force / BM [N/kg] ,PU_Peak Vertical Force [N] ,Combined_Left_Right_HABD,Combined_Left_Right_HADD,SJ_Jump Height (Flight Time) [cm],LSJ_Jump Height (Flight Time) [cm],CMJ_Jump Height (Imp-Mom) [cm],LCMJ_Jump Height (Imp-Mom) [cm],Level,Est_VO2Max,Peak_HR,HR_Beats_Drop_60s,NBA_Peak Drop Landing Force [N] ,NBA_Time to Stabilisation [s] ,NBA_PF/BW_N,BA_Peak Drop Landing Force [N] ,BA_Time to Stabilisation [s] ,BA_PF/BW_N,Age (Years),SA_Arm,SA_Leg
25,6072.746943633616,5679.628839430191,2990.9388604303476,9046.180331507525,7507.835389461777,4830.200098230787,9002.988391482846,7092.787861840365,2960.1863699980336,3330.672426900338,9613.988404146321,1813.7256624591364,16.48605643554641,7219.467214074596,5938.027580293164,7719.76015822198,3590.219505523331,6670.752734161774,1656.6112162900445,1988.479403490928,4431.571352190938,8040.458400150659,4362.565056946059,4735.788940787021,4133.996468481905,2619.196769603445,3882.174079629614,577.0994615736903,1384.7483016155068,2825.129214614242,2976.6379703991665,942.7730782371916,367.077275991282,4221.2741163355195,5287.5774781393975,1817.881190134694,3876.662145881889,4674.223667103053,6601.046454276382,5612.917437563076,6617.682529725535,8258.866387536647,3295.8591799983637,8598.719277262975,8489.087222674225,5942.076530809169,5584.421343551652,1449.6462923120464,3629.801808560518,9019.740523135042,518.7848385750499,6984.483667068253,3173.647313237872,8106.140582790452,8304.449625847266,5798.7403566086305,6917.69440626771,8499.623800668187,2451.9100524176215,5364.02636267165,7752.418499323791,6952.01282401066,5563.016459246572,3961.9329240663587,7459.621149549566,9125.647172166637,9970.628682023405,8504.522847476832,7500.18573877557,1756.0484963233407,9109.403911122636
42,4487.429249683366,3428.99486452982,7251.351660954623,6460.491195224472,6590.236297622631,3808.3189433156103,2466.9108366775126,3071.087157021552,9617.524121498167,5887.326695236467,5026.403705072279,3211.776621589904,5239.784122451126,7818.228428912101,2961.744641629362,6050.662251366965,6330.443303839612,8222.102413491873,6787.797375663275,4819.151086592428,3530.2315448787012,8142.99319393378,375.18001679853984,8749.208794089536,6760.044743579215,1799.2283206451473,8602.4499001247,453.92989895737475,1426.1453093288267,4564.754255672594,5149.795543141114,8878.80250552763,8186.698535866932,6451.310199007332,8570.374938833294,123.11190897617509,5220.048257761119,6394.713406941118,763.9601060379724,9180.389038340561,6049.271919645419,3338.4529925090733,352.63891220294494,4841.243373484356,4421.66909291831,2804.9053618277712,6035.658311652532,5785.606061718256,4677.161626365412,3729.7900422567823,7549.282165762973,2862.8255825573597,7531.045640180201,4609.618992392238,3806.426224676158,5428.190284020775,769.1271387552699,1841.9678235099352,3973.770620792404,7655.5872553209765,762.071434044987,9541.824918292692,6045.705005612682,1139.2914824044262,2742.207826865921,1903.6749373477455,4762.858267765746,6255.156870831792,2606.613126237426,7201.713339784,4188.689745493782
16,6458.241052301921,8540.558689046977,8084.050956717056,3106.0351009249525,6779.875410839913,6627.240269295334,1688.203362845735,4575.602435078189,4576.926659422502,2805.465780125824,7863.574510067391,2573.436488588954,9311.987030851898,5656.443099663107,372.84065857106253,5092.429265588595,8484.23368061559,9549.783328669111,3230.8264906572786,6214.97142355509,3149.8812015988883,3963.5339702258,5849.408935837292,6117.219638103208,9479.862487178241,6594.763015860161,3675.4664995609073,8529.1779987001,7053.505808201086,6088.552937063255,2531.2205645072468,3162.863635401985,4861.532147048175,3985.0776839781524,3646.1910427896883,5882.360055148688,1105.5176976261116,5054.55702449857,7617.007398131007,5245.463892792143,5133.938119543356,6375.871548346089,5265.934268213573,6438.082580548879,4897.589105934873,3554.3182323575816,4873.694151261315,7114.382804456671,7684.970811283459,8584.434402295468,6846.374883691224,7066.3235693179595,1005.254625644735,358.19020361008717,3020.884449007882,7711.774973553161,4647.635097583403,2470.7584079162807,5286.062221609567,3065.9226368983855,5523.314811928894,1450.277105909331,1970.8105678813074,8647.532714926823,2707.607747482414,5825.064506705472,8467.843892567558,1846.2659682927751,641.2719259581685,5043.362357596244,8968.145068028427
3,9822.048013957285,2593.5185329179562,8336.165165926812,239.42479142530198,1105.8941030867275,5667.967358231688,4474.20311773306,5985.105393550971,6915.310172195472,2709.028690616104,9370.64104510736,4439.603801766704,666.5165927776901,3196.8205583135286,6271.083687968698,5344.4652285017355,2032.4697667093947,3568.8824757192297,1239.0834979874185,7847.047108430696,5211.951147005885,3910.9130392670304,9350.920519811498,9083.782789199835,1757.1475429799734,5229.086140323452,9689.71260974675,3179.9765342991823,7237.601300774186,5098.421221293236,8442.178560178314,1203.2808272082286,2378.2969004260103,3563.517082730938,4127.507267228245,5239.314671648983,7747.632064004614,6839.971648688518,921.1491081394113,5404.107508709187,3390.9282107016315,7863.695018962384,9290.17780183826,5770.821972110431,8415.00978510902,1711.6795857508882,1915.1053028666825,9208.039998265063,8835.133697659596,1718.4401630167863,1355.9565343691042,701.1351892824066,8431.28210960019,4961.086124874873,3072.419007522234,1178.754080446936,59.98983805790807,3244.992166200841,5889.277128929756,6909.386362714141,2448.5845246981376,9955.555056889545,4995.577814087905,3666.358439464531,8881.791412665138,7735.658794635892,183.8282276171006,100.63715596598625,2568.7402923949967,2114.3401570289884,1227.1447372555053
31,2682.6689107184334,6954.313049543244,2235.9113371987974,4958.289005531454,9306.601298906326,950.5247995427354,2962.6487175797643,133.94053463754236,1104.7661551265826,2639.8084261012286,6517.556007386539,4982.2138636861055,3743.909960857649,2257.7223936641576,1641.7320225530148,7925.716456768876,4506.905058883482,1072.4232454138917,7067.848039441072,6917.335470019952,187.27500308399948,4895.00119041869,2155.2385351885314,9633.230911441067,1316.178376432434,8399.661597070968,6338.717721569071,5055.732248435547,3796.4647354140648,3615.3993541836726,1085.324216080223,1637.1854266433343,3926.9661532184223,6243.47335981488,6881.585018707825,8390.101379708698,466.3588273413122,9875.148290459938,3584.693905901994,8356.668244481043,8583.282003885219,7925.791106833484,2185.9041569044616,9957.979200716425,3548.3116598686815,5836.629508589412,4191.254226390784,9013.493872795301,1929.6100762564824,6798.1183431853715,2210.1946397192173,7985.015036469719,8532.148893002803,9913.608901687678,4147.024341117616,7649.613552356849,2034.9747068570225,4180.614944480972,7718.573056776798,1248.7942314337108,5324.758884987878,9182.04698751107,6887.742659761142,5856.606342061759,170.47240209948328,9495.57975995015,2387.7400897518282,8490.029700384379,5012.768306335618,335.743620562512,740.7773849853521
53,2195.9965680999326,9545.014882376694,6622.563585994221,7877.538712208668,5777.897256533236,6375.417955232994,1594.4089768906742,5472.912206551947,94.61522697946215,8651.20388087856,4320.866294815631,4209.9095528938515,3387.057206821086,6267.089226236511,8015.778536755396,1861.1822640536184,4264.252070353177,9832.98731762442,1403.172968230749,108.4949941579842,539.1551624425015,5169.770296347503,972.3416903066367,499.99576384584054,1431.7697887681882,1692.3157517976263,3728.82068848062,7520.259741735246,7740.721172670533,4525.924169805466,9892.821687073398,4241.976423290303,4996.28934024245,1160.947744756271,9086.026068667514,8450.4193646294,7348.20189508034,8126.873716818143,496.2007040022141,5355.519730635263,6144.979137661831,8298.796729975204,3281.209385735802,7279.792982784811,5508.084543496023,420.78272992410496,9504.290907381432,5332.742400437296,8965.795269408221,1822.5669625199312,1489.3226851457307,8505.380455255146,5756.605577312854,3938.3136831067773,7091.239240884929,6292.051808685823,1069.01585003937,8432.391715609927,5120.484850288265,9419.769522170493,5579.401947435487,8980.430012708704,2961.1577860522425,45.428635866617086,1596.418772676695,6471.215628765144,7262.569553495403,9463.669174162933,5976.0482449846895,3828.860492919908,4634.1324054162205
6,6888.660232847691,1431.274173325634,117.39223759729298,6462.172400035586,8572.383006771644,7534.416370447764,6293.935300892682,3858.4824685696176,7953.25602218105,3679.837828178536,8709.843633549352,1497.1449106994196,1101.0415826089659,1146.449865554206,9255.275100091989,4229.353570875568,7723.124893350692,2364.368578017276,1064.718243867401,7393.157846715325,6649.75863585616,5209.808453454675,6827.763395233236,790.889441328987,3318.829480932271,415.41956489901327,332.4601681728553,4193.577416989829,8225.357088235425,4876.716237208786,4170.619604093006,4146.47575184405,9983.768871162727,6348.813422452862,9821.830648337344,3179.5006244334027,836.9331504881617,2794.2953170207916,1609.394928810719,1395.5255297792762,3677.003022023574,7439.233462169021,4783.540516441636,2672.015560085112,993.6117194570658,5065.8381704767135,9109.487729026772,9156.386932525598,7068.7142964052255,8641.392797553915,7351.293494744768,9332.531301909117,3820.381949208304,5506.212646125304,5748.400535830341,9256.326179876312,5567.945673132539,1716.1694787351767,6934.7213400604205,8540.522421153188,7394.842377824076,3982.4765822046265,94.39537655059621,7414.664675522544,1975.7796332985404,6241.04589433092,2230.052718238707,6693.436550398925,281.3218261340835,9677.940082959583,7315.328847544309
5,5907.244900969589,1331.6369952401938,6364.28674634944,8003.4278585565025,6351.40374571023,6856.599994198625,8890.389552755836,8393.427605638493,638.6309924139612,7936.12568903085,1910.1027418836975,3452.237288804063,7923.727560706163,1026.9279013927387,1229.2479439481249,2501.6999331279385,2995.0811149977335,8513.439177478203,6171.847597693547,963.0723548171783,386.010770702856,9931.062991382118,3635.9393397767835,8606.214662702983,2578.703315098658,444.1365847710747,8217.56499167944,7159.035119437429,8479.230302482598,7691.651534262779,1420.298581799753,1383.1393895599974,3399.9168041126077,6253.128960845949,5479.180217718146,5181.707508385025,308.3648969680074,6342.700812204935,7709.002621126029,7653.672206336359,4679.94187036467,6719.662228051498,19.985347920993608,8388.752699106215,4878.393284947594,6920.463029185569,2474.000418487538,3572.4876362643654,5438.1543037121355,2930.3344458716833,7658.735152537634,2266.5560093331537,7821.552413420062,8882.585032450741,6875.213658892828,1207.923900428686,3114.600709924202,9386.945167564703,1566.3562254104966,3313.529465791851,2407.3578904207393,5079.264914673077,1335.4466401746251,8749.875538655493,4205.515642940957,9800.869662950541,4898.82140878111,2391.980290469429,8339.680564982622,7785.615178949732,9941.667678143338
56,458.6798227582012,7057.91246714214,7010.137868595723,9617.95249180594,6387.263572171187,5540.0047591686125,9799.31724362278,2103.1331756861096,3110.0470199324973,692.0972170911045,3436.095059644338,4107.459993174879,8027.8818377638945,5086.902077995689,2708.8580458486676,9288.113064896483,4956.155422273992,4763.48252034471,3602.0949945959237,7680.974119462343,4845.363174295871,4073.7623522486238,3410.0288309268626,9946.15212624774,7721.515642610237,665.854078043378,6456.925739859621,1959.7038941799403,4534.55322974567,2160.030327214901,8193.799555430507,7609.608176538969,9297.629557023834,2460.770381627849,5142.341987358849,4187.619792077877,976.097818738758,599.0708632315883,7731.783931510708,9748.23078871928,3243.015283293595,819.8396060891556,8352.178612428548,2471.333125114528,835.4317467051445,4212.391413130567,1605.970849596592,6700.342811939254,6459.093289493465,1372.6739667338863,6840.166634205075,2628.94473514301,5128.168511110476,2467.676634594648,5900.172360208728,4803.623386928994,1509.3461398618,9976.22596895971,3628.0081445710034,2904.190891770372,3135.6016913560957,1343.042496204891,5823.274282358914,9955.20376878185,8794.464784794178,7136.309102314064,8767.795149515496,8907.876097801804,9006.14980328252,7552.862249383363,8191.042953558202
34,2634.818284791113,1813.3357113387706,802.3489797228148,1949.8621158941935,5506.42002170973,8410.67013599788,6248.721130088762,4881.956842944542,1227.6780818004843,8587.70076297019,9735.005649165729,9055.33072002692,4411.823432880269,2313.3566247862545,7780.724842042489,5718.50912394201,4249.001319965127,2096.209740091054,3356.008283908515,9705.660631644405,2246.0359643235875,2050.015507729911,4398.870809539656,5471.819722553212,7062.236311417701,5201.137312319052,6222.4844528236645,7680.318003047819,3664.508757906918,388.41519851394287,7861.392533473272,5262.417839801127,2511.340597517894,9614.394125350509,9573.716012626053,6431.693854901361,5389.552731629073,43.02160642869468,384.4871724555213,8239.023841770886,6206.563951401474,9957.8507808033,8065.182177944549,4502.745474838017,2748.2122937886616,5157.460389311092,4171.105409608202,4978.6193310516755,4947.454540935968,5553.334342078141,498.84536976667073,4586.937404648304,6971.335874263668,4842.0774367099375,7636.671513533613,9675.475142810816,4816.353791177341,6363.757859855818,3407.906313223992,7510.749860439594,5570.554572246174,5697.804529025813,9661.136856567018,2762.5705452645443,8301.32387816413,9658.954421375725,6151.245568227339,6441.8758084136025,1504.9435022532361,7614.341708663491,3972.5755329979324
