Weight Lifted (Kg),IMTP_Peak Vertical Force [N] ,LCMJ_Concentric Impulse [N s],PU_Peak Vertical Force [N] ,Avg_Forearm,Avg_Bicep,CMJ_Concentric Impulse [N s],Combined_Left_Right_HABD,SJ_Concentric Mean Power [W],SJ_Concentric Impulse [N s],SJ_Peak Power [W],LCMJ_Velocity at Peak Power [m/s],Sex,LSJ_Flight Time [ms],LCMJ_Concentric Peak Velocity [m/s],LCMJ_Peak Power [W]
24,9042.60716685405,2490.381053213346,5600.176592975162,4926.483740799751,1925.2143582470546,2158.4811491789214,4165.669800711912,9256.549252175075,2757.447326339544,9773.507041028493,2880.617273316193,6598.377801809984,110.81181173245763,5972.651606546247,3901.67533406092
25,8771.005976289636,5174.774342730126,8955.49549602594,3728.2070873437137,6673.586715404847,5739.391465773,6459.986933129196,3135.8587063493187,1052.0132824406444,4265.004138572212,9181.977477077575,5804.331031902623,4909.215361026446,5774.644845225489,9342.831422525067
57,8684.863425113932,1463.497616359735,4274.15034029472,5151.906548156284,4711.8270089431235,9572.567910213189,1937.352658351695,8461.686729412917,9213.051176019013,4149.329295170458,3039.392388477132,1310.9096180127503,8597.116814858176,9453.754021997576,7705.70712905291
50,3712.8979278169286,4696.957377149473,1540.2025410685158,1241.471380088491,6847.411205979917,8746.401558827485,3826.9736181899193,5749.4480159670675,6147.228482715093,4281.8993983204255,8673.775434125886,126.1551276595078,779.584967339373,1067.105186480532,2836.1856676139764
52,8835.61370519502,9849.523394608737,6486.070493346227,7926.5041051602475,2822.776134176682,5960.577889478634,6620.947143832339,1939.2567728672366,2209.7321817047523,64.39701326352191,1262.125093735932,1129.8531287427525,4668.120163530017,9647.99808612901,9314.54716276227
16,821.615558609513,153.2263284134313,8397.255924821597,3145.5002432894694,6311.914439163399,2155.847247680133,3826.905343513381,1514.196527984045,6767.787977916256,4856.549356979169,321.6939616791809,3738.513331785885,2614.52945684169,5892.616434620147,1197.5383211261492
36,868.7685098481628,6444.924467128447,8698.536570290304,5061.332138988192,4641.885762691507,7365.468272669416,7286.1508563074585,1837.5513183690455,5618.3157083066335,8736.781353519666,1027.4830644793878,4456.564852621702,6857.904541457928,3753.1450602814693,1529.9937556192876
22,8097.519268467207,4896.933005499774,6769.068097302849,6345.2546108643,7176.639803548087,8867.67705613877,5606.5536978314185,1380.4277268953426,4254.750961675648,7051.053614254339,8847.584748035697,3075.380397627038,6784.570548325151,2913.4055263978667,7177.737222777629
8,7554.989552778316,9677.734520325606,9900.617777314768,2978.227487433008,5025.747300143333,1831.71665734581,1828.4616090806223,7765.795813347212,5121.681608553161,1532.7512946998406,3184.7420680242317,8377.954933971618,9034.329465672397,7017.712358179463,2834.0644957304617
56,4303.088904129134,1572.9269204952434,975.9712620495782,7970.759714794634,7890.610280006203,3302.3261737949624,8847.501348361662,1019.4381182727068,9856.97719559797,46.61168659858006,6936.064097534962,1248.4774774773173,7543.729569200725,8667.897443826858,6766.115602789337
28,3066.569915337531,9703.431520976575,7469.871097495786,5858.605150723307,644.139655187191,5605.284863901983,8797.856109325947,9852.334037847038,8333.514361534686,369.31721096866096,8588.804088586148,1519.0897760370578,1624.0621149905826,8410.340702502726,4386.193735651926
45,9834.876006562656,8516.449647485499,2675.0764402807968,980.8005011593842,428.7218691956123,5682.9753112106855,3054.7077234331155,8321.52433206172,2994.1912793825036,4747.292480881599,4293.783411378446,4731.418288441489,6678.998118626128,2349.145529746576,6931.186466284818
4,4787.864602915642,2496.8120692526927,8097.175939597068,5446.505590109768,8783.983971935268,9772.661885653588,1568.3147343631776,2761.1750668697327,2642.572803313829,494.77426717636223,8438.536289634614,298.2897176944628,2050.7860404137405,7970.872384432381,1318.5299754382022
45,5316.478144708771,8295.865775999175,6010.582545161904,4984.759001537062,482.9399392805449,3304.772612035108,591.8849140534552,4740.790036568284,9320.589636930597,4991.219528358011,5547.384779164105,4532.896927583025,8394.519536919255,8195.207918202166,4787.730485653473
40,3942.507246802276,5531.518813018753,7662.85743377947,8266.957271549705,494.75881683112317,560.0339889552048,2024.8504689353579,4928.654410634668,6045.144974056444,1220.170982093364,2337.289301610224,4058.9309079980662,6287.928546106087,3173.9831048811056,7238.947768349729
20,9073.332489497912,6925.5315749124775,1981.9557692438273,8661.99923835605,6032.939922501737,5959.134533603144,8301.032707937535,351.9692724166282,5724.749488683845,4744.534001492005,3669.025481744483,1046.0774140489102,8035.507877273853,8975.083834325447,8485.669561107201
33,9240.168840577382,8914.379964952972,528.7196813695627,7305.469927450387,9984.97317991852,2262.972813964244,4347.35925257079,4343.179652363974,7433.504753273169,3269.746553114117,3304.302492908396,6364.648283907081,875.529315590795,3107.1827251940526,3738.481925905867
48,6535.370511321611,9826.78851703519,90.17549440785804,3021.88748144972,1952.4150129971035,8058.8231749714905,3172.034713139513,4692.7364127302435,8405.727303755773,9909.180639358709,8781.265079299408,6245.487294192541,9497.955296216896,3407.5926273287673,8806.943972068519
5,1409.0513967890904,4407.182335603657,7541.186135542982,5454.7224118347485,768.7543846951867,8726.610464423067,2976.512840883987,1316.3485708881396,1631.3472664097226,1515.6164125251635,3653.698083718685,8882.515871726717,5498.869659829794,6717.566875441968,2247.58006739594
39,3018.918278243305,2829.7546707921706,5212.720930469782,6178.609798125056,4975.165625202183,2926.293298856034,8330.610114874307,9399.693358296843,7254.871336639354,6997.581156888439,9922.9973423164,5737.90898475163,2391.278601543061,6728.543074449291,8540.36789033841
38,3693.949556514774,3481.6946010845727,9272.321816135078,3963.223931236786,5327.431518558839,2453.250240369733,1420.3332389517468,7182.262924341319,2023.9501647448305,4495.5452814272785,6810.836464398949,1710.0176188087394,3357.3565869835934,1056.524066682306,7049.398953956478
48,7915.249244928101,2557.65638942846,874.5980358052757,9753.477905401884,2772.9958712328526,6494.862959698453,7986.45660603171,4274.933996566562,6120.535180587212,3905.053692135707,9716.756457591879,5500.870027232682,1980.0338563271544,5086.189977794911,2414.3111935763945
33,663.4498513403574,8556.675581703857,8662.068950138573,9258.872550730715,9855.584830043617,3846.0670374819674,7602.293219373811,7609.4055398625915,3602.8719604177054,7530.998726170953,5458.577505409757,2963.5033447211176,1909.17536735752,2583.8340966737783,8935.109910926221
56,1898.827431571348,4715.0045360722615,5036.792026242525,1391.5599593843067,9955.988900466034,7309.4666306502,979.057121706822,3902.9211350720834,8760.63519304976,9236.601230048536,907.2207547837951,8453.831904169649,8031.748847895613,3246.9749432449876,6613.597253908066
3,6059.589430430607,8868.46603372979,3.154046550368229,2798.1543188780583,7182.876738868684,776.4728636129944,8422.828239185983,539.7413347747325,3945.5214801270527,5109.057466702866,9036.637367169045,1008.9878974459465,8877.495891453678,2288.016335930081,3180.1113907375384
48,1395.294183444907,7447.467719099277,4641.928933886923,7144.583020814818,4846.270765325084,8611.281959809006,415.73365866886587,2055.02876159531,4363.139485335851,588.9287206077325,7400.125637803674,7529.642370167605,7547.771446609033,5133.507268931122,9475.98590074098
56,6845.618378325586,2326.3593976409097,6041.014249811811,5400.973759160647,1800.9542064002885,5192.442368888048,1805.7255491326782,5557.638630144361,1247.117741085429,194.332919897403,7406.112200290052,1887.6393910520947,7621.454920139706,639.0856614045603,9614.402028599978
47,7720.7803262441585,264.24450461837057,7222.197142011565,5473.304536755278,7684.03362669036,9057.257162322387,5632.00473020804,6552.3697945758995,3447.983828671553,2414.3985929067308,5842.202703725652,3553.649024675414,7429.304962769901,5173.2401545646935,2989.3133527260966
8,2221.270133436583,9703.919669768222,7679.161191634199,4597.673065077491,5920.146928327573,2393.0826095831235,8882.13517248269,8394.793967179965,20.878693436322294,7553.753987085695,1374.5439572050202,35.735419668251495,3077.1618205893437,1649.9341870830249,1814.2030591397968
1,4552.718690213057,7069.427495984967,4363.816744553305,3057.6623503751334,9495.337482694953,1473.1623355235608,7234.608918279988,753.4720669791836,4353.164316435518,5377.096194823318,7784.8973523247905,6532.325074041604,5191.595429279794,4860.833232405423,1118.4514522210588
41,2145.242234017714,8914.026380374433,9581.933461417257,2213.4729323856895,3572.890438869411,7154.962753762124,2001.0668016484788,1375.9882113263293,5098.482845125076,8316.105522313794,6265.234799605275,7216.838547856984,1498.9421073989167,3910.31551968009,6575.387621756642
12,3559.204746102909,5427.482440329779,2672.947113810609,5947.563226230299,2430.947288313614,6794.05433606819,8429.904798076223,9211.63949585168,1591.8063615789101,812.5841493517239,5076.566407749068,4191.334629774233,809.7597279679943,7923.6195460226045,340.21829495380365
52,8019.818094384057,9764.169824124778,2777.7391833747974,2053.5975284395236,9530.674114002033,3214.6906958165378,5866.741257791533,2729.045059920672,2588.8425823598163,9307.755934585424,9750.274545350256,305.8304325248966,194.98310598629243,7929.857617359232,4785.069095309614
38,6133.6541457092,7860.277985008598,7115.744410851573,9785.268062833948,5586.455451365052,7935.746437512718,2799.8412259654287,6755.174114422497,9443.37080856136,9754.510734952399,6315.590234073285,1086.0771043360598,8036.344385884964,7321.685244194454,8310.91138494349
56,4548.062626195626,227.0846237042154,2821.590409842379,8500.033767315135,8957.329126934452,7309.605726805798,9144.84088051879,6693.1347452578175,9648.561500455608,7228.606272667518,5368.455518247759,7915.845676138276,3714.0406911159926,2525.3812068498587,686.6959911147999
6,8027.190050273831,8515.926639245763,7272.852840540114,6072.814347098218,5602.910156755881,2379.486267796973,1745.8982592134562,5902.186767602874,932.0771439734475,3399.0226606308033,5723.2605631246315,9972.659626128003,8230.471614269129,4533.8361886530765,9011.950830711132
13,970.7862529985437,7432.85453183861,7760.21099869316,5915.996168110872,1530.5695016371055,9934.24266219051,4525.803280659179,5919.175734969286,6288.363246910339,1380.2434320142359,4585.991057258321,8969.525639134821,1930.4136085829189,7035.506167649896,9835.11867708462
33,6241.067909624579,9215.881820753897,2845.9344416451204,583.3283271650986,6361.377762367768,453.04687831418767,8594.436227137958,2205.8161220391084,4797.633457878575,8278.675727866512,8638.257906073144,8495.395585953645,2385.9184099386607,351.93326024668767,2193.171067690352
16,4421.202569498934,5081.302211621329,4329.8132308417025,3098.036518485466,276.9023694189038,8865.085391453376,140.7056986381679,8209.828788041239,8606.146822309047,62.45302354401005,540.5604755287853,609.9213204100599,2746.919507126155,9240.716573330184,2102.5276250255547
31,2132.0570083419843,2030.5412332521773,3502.6926543412683,762.0001429868437,3695.0698417815925,2806.062097449644,331.4777528849649,445.9753141642283,5301.325215180895,8557.570353862342,3294.3355886893182,2277.1134218400857,735.5844546335039,5932.897559486617,4170.375965529748
52,9303.906549287223,5648.660249244487,5480.39039302526,8151.194450494179,4888.711919388797,7858.555328084151,6434.086223373831,5483.0496336559845,9157.455933410729,8685.245873486225,3990.246157702411,6363.355303426191,2769.461430205646,1379.0884848752755,540.0732950630145
13,1718.7397631062884,2315.2373380829526,9889.082174941615,4259.205239919689,2432.9343722221856,3174.167348067365,4448.375766672358,8619.690508429801,4498.409062410406,2564.0971662885786,8941.859530897582,2455.4451889029624,5350.470536891865,1586.5998068485185,4245.506746892209
3,5508.112654775449,7266.584662347721,2847.3960308053406,2912.605650535181,7210.495019614398,8802.704877546872,895.0577750649551,675.4169921173819,4102.5234501499735,6848.72894790109,8606.007144955996,3933.261883657659,5993.168256345683,3213.7980588885907,7039.830784964073
35,5175.902826310845,7600.206372028043,4077.4446043364514,6945.229022040618,1773.2554374437495,8544.80588758152,3914.052976411524,2238.816461496991,4982.111355537571,8736.226922088008,3206.210446819923,4005.406367121925,2797.6901684847703,1516.008941754074,4880.893393041585
13,184.07603910032253,9538.02074916554,8615.513826308403,6974.262657442092,6045.1229618716,1528.671326568669,6811.962021462423,8830.12729820989,1054.1627648037825,2411.3155218580023,4066.9640322305777,6820.644710488696,3744.533757887499,9237.304365498336,7106.176177729655
40,8413.058574339811,869.2338883330527,6200.591235712069,4538.6382241311185,3637.210332062017,2737.9656555087404,5184.271539215228,5246.807274403175,689.340167656607,6638.211068552182,8118.819768408763,5288.006159485986,7099.990042505596,2879.8210152599368,6966.373167728271
21,4365.098985274897,2350.7282228200293,3469.549261365002,1931.431969907283,7213.370746739682,6592.652958845237,6031.325296086718,6190.7715505174065,7031.250336457989,1922.908133807671,1203.3333811774553,3631.066679143934,947.9807910373565,5618.118976061731,7576.962212099013
32,5862.1151448372675,2007.0670673474274,6689.135091379789,8852.521927571517,7802.414569953507,4915.731061006485,4480.475257845989,2275.5054417011447,5213.306925518717,8599.030090628448,1293.786302811902,3857.6728513305357,8672.082824457017,632.682531821371,8574.354084787497
57,7722.102823586446,163.45667835174092,7177.797184409992,7958.574468231114,4924.154300950449,8830.702802291617,1585.9098789400728,4739.756638939239,7960.917493499921,5553.35446900882,3470.4652653682438,9228.759675944504,8981.971516199394,9639.213702885589,7086.061605742827
35,972.3747958307465,1347.1352489959522,2078.711513474771,2867.707562346852,1440.015937964005,7798.623537821716,4902.023143091227,8377.91457923993,7010.827790880436,117.53397139517413,9308.151823618808,6591.774232118992,988.9138533502585,7869.83057460367,3923.428053747405
22,5932.553504086371,6080.937265144838,3321.1297731088907,398.66132362121306,1075.7779363309055,9720.650607684009,1475.7321819473116,8356.047855933079,8158.250870256731,8512.547990468978,1925.0460276448414,9626.212161488833,6008.125374986144,9874.214710136495,425.5670753026095
39,6282.445227864435,6637.452739270725,4318.986974545813,8757.38516013994,6293.641226710887,8594.912700984836,9327.796070227785,4190.44369026403,8509.172025755184,3875.140010261577,5390.3241504500265,4735.548437097153,4658.582543967762,3696.924293387366,6988.992000487509
50,5564.919738297883,22.971238218652537,1961.5941624956204,7709.130120672093,4342.549209829175,394.56288855762375,2449.1198302333273,4000.6286398086954,4727.935114040664,7493.927737625538,7370.1251059196575,1239.992682234913,2524.7288621422404,6411.929530479609,751.840898720685
44,2091.0177963368697,1131.4386320431556,9308.290958830581,7962.741786812808,2243.310623419761,5952.398086590973,3370.860838618422,6530.227118499426,9422.919065285076,7864.36128028887,1275.031424078413,8078.197174004398,4293.469786171661,3059.684512823103,1506.5443910135627
18,2464.230122688661,3834.596424494866,1481.5038229082882,9191.64156248109,9804.78113778356,8331.265051042823,7265.191633147162,8135.64957999677,2574.700298959617,5526.0906070584815,7715.090197900787,2724.6346739053497,9870.450708854141,4071.403389014841,4263.549359302617
6,3109.935324655439,5502.4809348993995,2530.927410209375,838.9659009247082,5703.899812397847,1734.836639647713,5762.599644391833,8481.497547559155,8674.563349705844,7537.030634494996,1561.0637129928623,1257.4373940623225,9862.198107040607,7594.433120559196,3994.0301446214303
17,7374.335510509902,4960.6032372391455,8346.742912011501,5022.276319761283,8262.333107260118,766.7563663518538,4357.684956251214,465.6259047894445,9460.275979788048,7043.105768158506,2822.6565465012013,4505.270218887374,1491.7705572348802,4631.466771393921,2270.2230750780245
6,9547.567521610874,6026.2078822701515,8333.266357322002,254.85787961487173,5652.688780152828,4623.407254513912,376.9755738049492,6924.792460117748,6675.044810776416,8039.380448514403,5749.00126151027,3523.0824523075366,4500.0013461532935,9081.266987232268,3066.4732318380625
50,3787.403406132522,1268.8424904628275,1298.2839419773843,6188.198652392297,6163.760383334391,1742.9900096759918,9468.708240006368,3260.336990525212,1468.191609166455,4022.6825001458965,936.1099844966109,2044.2349107042432,2446.8163229970887,2023.0458518918838,3451.9858644129326
47,8493.270706397756,1898.8881946501338,2863.704727803713,1142.48941617483,6771.873004166509,3375.499655194049,9896.400140772952,3429.5373341681448,4026.932054675486,5993.222207040516,8122.517863266209,2186.2823076862437,9953.467179934218,6721.418448114142,7163.722095349332
52,4391.083741940244,528.0982544524194,7595.246194240376,8210.36308438794,5357.531524303083,1708.5897371570984,5358.120882099777,3734.8280002050233,2919.125213867132,1598.6820693107895,3109.653272576927,3589.4752833211896,9409.25188911152,2242.1194042846655,1671.6070497991914
17,131.9889894955882,9101.556973105819,9609.860834919487,3893.0519945851274,7572.629438629911,169.6215691007133,5632.837816817183,8386.522341997917,167.70501050796025,7518.956172604752,1848.992173120138,7055.934954537618,3015.759643893555,6714.362210863421,4934.693831521159
2,3442.254496849248,2458.0032082684643,4001.0313186697763,2604.7400230515864,7391.0910740862,2078.950644773042,6908.112006971051,3268.4822849737916,3661.0879863356517,7222.576378675111,5287.655930821616,8152.506764841135,3381.342071574924,9439.320449861782,5675.332428742695
27,5498.425334640245,2168.9471055130475,4967.548125943276,7119.084415428624,3044.947629640991,796.121879576882,6630.906001064531,1273.9917747099166,9272.006499836138,448.17013358775205,7064.261229689202,2848.0046843153705,1503.3877709294961,4738.497992709439,4942.371596600314
9,3633.312357242305,9719.62533604598,7102.956082285644,3137.6683724580516,8226.329986936593,693.7390054370557,1181.4123277767105,6835.173731640076,7194.514578670069,6073.984455497881,2243.9588697020313,6160.390039543601,3395.3358083368935,890.3393684421668,5012.435476197113
9,2514.1577892402324,8641.144788242656,1879.0682439191185,4221.659419659878,2707.098512374857,1506.3902318497953,714.1413960052664,485.1315731973966,720.3172940870847,7195.701333770345,281.90428551377215,2069.118303758898,6344.0909740142115,8806.167840698394,2506.513292835442
46,9075.860077806981,4244.726804951275,1337.3872139144132,3353.00938029832,9213.76760997732,9087.728484309202,9024.896087514602,4752.265169667344,9062.377025310245,5529.763570741156,1565.4041918480739,3650.3979126302556,9641.141968271215,3128.2195479476263,3060.478050508168
45,6566.065075104277,4533.052950754152,95.85407802304363,8097.632802053846,6424.077062924075,208.2913932546802,3194.4565633308225,1415.96050592359,2249.1342039033434,5835.242841028677,1093.1048678686639,2925.8266398777737,9410.00548875314,7167.985974526161,8147.675049100143
34,8336.106075112462,1009.6851821547191,9169.160265839608,4784.4386497049745,6990.916723551695,914.6115859860914,6617.419642105639,3313.399199673985,53.32109695152502,7354.479057488303,9357.075544579753,4959.839460153301,1837.166679555509,2850.8378665923756,4279.043057668694
38,9849.766223216086,4872.12120784889,7254.96344008437,3976.268257911727,3966.7112018325233,1963.969974917073,8933.936201824563,8198.524822649184,1581.2272297288002,9815.256760181404,2925.579951088964,3994.037160619257,3977.2474301097445,6484.304662959059,1366.7160437877515
